parent_id,child_id,birth_order,adoptive
1.1.3.8.1a,1.1.3.8.1.2,2,
1.1.3.8,1.1.3.8.2,2,
1.1.3.8a,1.1.3.8.2,2,
1.1.3,1.1.3.9,9,
1.1.3b,1.1.3.9,9,
1.1.3.9,1.1.3.9.1,1,
1.1.3.9a,1.1.3.9.1,1,
1.1.3.9.1,1.1.3.9.1.1,1,
1.1.3.9.1a,1.1.3.9.1.1,1,
1.1.3.9.1.1,1.1.3.9.1.1.1,1,
1.1.3.9.1.1a,1.1.3.9.1.1.1,1,
1.1.3.9.1.1,1.1.3.9.1.1.2,2,
1.1.3.9.1.1a,1.1.3.9.1.1.2,2,
1.1.3.9.1,1.1.3.9.1.2,2,
1.1.3.9.1a,1.1.3.9.1.2,2,
1.1.3.9.1.2,1.1.3.9.1.2.1,1,
1.1.3.9.1.2a,1.1.3.9.1.2.1,1,
1.1.3.9.1.2,1.1.3.9.1.2.2,2,
1.1.3.9.1.2a,1.1.3.9.1.2.2,2,
1.1.3.9.1.2,1.1.3.9.1.2.3,3,
1.1.3.9.1.2a,1.1.3.9.1.2.3,3,
1.1.3.9.1,1.1.3.9.1.3,3,
1.1.3.9.1a,1.1.3.9.1.3,3,
1.1.3.9.1.3,1.1.3.9.1.3.1,1,TRUE
1.1.3.9.1.3b,1.1.3.9.1.3.1,1,
1.1.3.9.1.3,1.1.3.9.1.3.2,2,
1.1.3.9.1.3b,1.1.3.9.1.3.2,2,
1.1.3.9.1,1.1.3.9.1.4,4,
1.1.3.9.1a,1.1.3.9.1.4,4,
1.1.3.9.1.4,1.1.3.9.1.4.1,1,
1.1.3.9.1.4a,1.1.3.9.1.4.1,1,
1.1.3.9.1,1.1.3.9.1.5,5,
1.1.3.9.1a,1.1.3.9.1.5,5,
1.1.3.9,1.1.3.9.2,2,
1.1.3.9a,1.1.3.9.2,2,
1.1.3.9.2,1.1.3.9.2.1,1,
1.1.3.9.2a,1.1.3.9.2.1,1,
1.1.3.9.2.1,1.1.3.9.2.1.1,1,
1.1.3.9.2.1a,1.1.3.9.2.1.1,1,
1.1.3.9.2.1,1.1.3.9.2.1.2,2,
1.1.3.9.2.1a,1.1.3.9.2.1.2,2,
1.1.3.9.2,1.1.3.9.2.2,2,
1.1.3.9.2a,1.1.3.9.2.2,2,
1.1.3.9.2.2,1.1.3.9.2.2.1,1,
1.1.3.9.2.2a,1.1.3.9.2.2.1,1,
1.1.3.9.2.2,1.1.3.9.2.2.2,2,
1.1.3.9.2.2a,1.1.3.9.2.2.2,2,
1.1.3.9,1.1.3.9.3,3,
1.1.3.9a,1.1.3.9.3,3,
1.1.3.9.3,1.1.3.9.3.1,1,
1.1.3.9.3a,1.1.3.9.3.1,1,
1.1.3.9.3.1,1.1.3.9.3.1.1,1,
1.1.3.9.3.1a,1.1.3.9.3.1.1,1,
1.1.3.9.3,1.1.3.9.3.2,2,
1.1.3.9.3a,1.1.3.9.3.2,2,
1.1.3.9.3.2,1.1.3.9.3.2.1,1,
1.1.3.9.3.2a,1.1.3.9.3.2.1,1,
1.1.3.9.3,1.1.3.9.3.3,3,
1.1.3.9.3a,1.1.3.9.3.3,3,
1.1.3,1.1.3.10,10,
1.1.3b,1.1.3.10,10,
1.1,1.1.4,4,
1.1a,1.1.4,4,
1.1.4,1.1.4.1,1,
1.1.4a,1.1.4.1,1,
1.1.4.1,1.1.4.1.1,1,
1.1.4.1a,1.1.4.1.1,1,
1.1.4.1,1.1.4.1.2,2,
1.1.4.1a,1.1.4.1.2,2,
1.1.4.1.2,1.1.4.1.2.1,1,
1.1.4.1.2a,1.1.4.1.2.1,1,
1.1.4.1.2.1,1.1.4.1.2.1.1,1,
1.1.4.1.2.1a,1.1.4.1.2.1.1,1,
1.1.4.1.2.1.1,1.1.4.1.2.1.1.1,1,
1.1.4.1.2.1.1a,1.1.4.1.2.1.1.1,1,
1.1.4.1.2.1,1.1.4.1.2.1.2,2,
1.1.4.1.2.1a,1.1.4.1.2.1.2,2,
1.1.4.1.2.1,1.1.4.1.2.1.3,3,
1.1.4.1.2.1a,1.1.4.1.2.1.3,3,
1.1.4.1.2,1.1.4.1.2.2,2,
1.1.4.1.2a,1.1.4.1.2.2,2,
1.1.4.1.2,1.1.4.1.2.3,3,
1.1.4.1.2a,1.1.4.1.2.3,3,
1.1.4.1.2.3,1.1.4.1.2.3.1,1,
1.1.4.1.2.3a,1.1.4.1.2.3.1,1,
1.1.4.1.2.3,1.1.4.1.2.3.2,2,
1.1.4.1.2.3a,1.1.4.1.2.3.2,2,
1.1.4.1.2.3,1.1.4.1.2.3.3,3,
1.1.4.1.2.3a,1.1.4.1.2.3.3,3,
1.1.4.1.2.3,1.1.4.1.2.3.4,4,
1.1.4.1.2.3a,1.1.4.1.2.3.4,4,
1.1.4.1.2.3,1.1.4.1.2.3.5,5,
1.1.4.1.2.3a,1.1.4.1.2.3.5,5,
1.1.4.1.2,1.1.4.1.2.4,4,
1.1.4.1.2a,1.1.4.1.2.4,4,
